Training ... 
solution loss = 5.954709, solution error = 1.006978, grad_solution error = 1.442741
solution loss = 5.945162, solution error = 1.005006, grad_solution error = 1.442171
solution loss = 5.873859, solution error = 1.003804, grad_solution error = 1.441449
solution loss = 5.823430, solution error = 1.000203, grad_solution error = 1.440421
solution loss = 5.841302, solution error = 1.002921, grad_solution error = 1.440180
solution loss = 5.804428, solution error = 1.002339, grad_solution error = 1.439581
solution loss = 5.762431, solution error = 0.997373, grad_solution error = 1.438606
solution loss = 5.763493, solution error = 1.000080, grad_solution error = 1.438221
solution loss = 5.701367, solution error = 0.998151, grad_solution error = 1.437786
solution loss = 5.708200, solution error = 0.998226, grad_solution error = 1.437104
solution loss = 5.632156, solution error = 0.998874, grad_solution error = 1.436372
solution loss = 5.645025, solution error = 0.995498, grad_solution error = 1.435293
solution loss = 5.546131, solution error = 0.995268, grad_solution error = 1.434925
solution loss = 5.593704, solution error = 0.992359, grad_solution error = 1.434103
solution loss = 5.564868, solution error = 0.994525, grad_solution error = 1.433902
solution loss = 5.489738, solution error = 0.992125, grad_solution error = 1.432974
solution loss = 5.472282, solution error = 0.991259, grad_solution error = 1.432401
solution loss = 5.483380, solution error = 0.990904, grad_solution error = 1.431844
solution loss = 5.417994, solution error = 0.989998, grad_solution error = 1.431255
solution loss = 5.413197, solution error = 0.991133, grad_solution error = 1.431080
solution loss = 5.360353, solution error = 0.987849, grad_solution error = 1.429516
solution loss = 5.352147, solution error = 0.987131, grad_solution error = 1.428864
solution loss = 5.299499, solution error = 0.988267, grad_solution error = 1.428381
solution loss = 5.301284, solution error = 0.983495, grad_solution error = 1.427283
solution loss = 5.249580, solution error = 0.984552, grad_solution error = 1.426554
solution loss = 5.242059, solution error = 0.982225, grad_solution error = 1.425822
solution loss = 5.237234, solution error = 0.982858, grad_solution error = 1.425079
solution loss = 5.171483, solution error = 0.981303, grad_solution error = 1.424321
solution loss = 5.180826, solution error = 0.980685, grad_solution error = 1.423699
solution loss = 5.135349, solution error = 0.977785, grad_solution error = 1.422783
solution loss = 5.131184, solution error = 0.980833, grad_solution error = 1.422240
solution loss = 5.083434, solution error = 0.977118, grad_solution error = 1.421232
solution loss = 5.088371, solution error = 0.977575, grad_solution error = 1.420730
solution loss = 5.014322, solution error = 0.976840, grad_solution error = 1.420008
solution loss = 4.988031, solution error = 0.976585, grad_solution error = 1.419422
solution loss = 5.018469, solution error = 0.976263, grad_solution error = 1.418897
solution loss = 4.994192, solution error = 0.973871, grad_solution error = 1.418022
solution loss = 4.954864, solution error = 0.973856, grad_solution error = 1.417494
solution loss = 4.917554, solution error = 0.972181, grad_solution error = 1.416635
solution loss = 4.852228, solution error = 0.969751, grad_solution error = 1.415530
solution loss = 4.873681, solution error = 0.971482, grad_solution error = 1.415098
solution loss = 4.841499, solution error = 0.969715, grad_solution error = 1.414236
solution loss = 4.820260, solution error = 0.968858, grad_solution error = 1.413505
solution loss = 4.832929, solution error = 0.968105, grad_solution error = 1.412988
solution loss = 4.775646, solution error = 0.968065, grad_solution error = 1.412173
solution loss = 4.778117, solution error = 0.966089, grad_solution error = 1.411300
solution loss = 4.749248, solution error = 0.965964, grad_solution error = 1.410446
solution loss = 4.693326, solution error = 0.965565, grad_solution error = 1.409860
solution loss = 4.652307, solution error = 0.965038, grad_solution error = 1.409425
solution loss = 4.644325, solution error = 0.962403, grad_solution error = 1.408584
solution loss = 4.618071, solution error = 0.960336, grad_solution error = 1.407687
solution loss = 4.620556, solution error = 0.963944, grad_solution error = 1.407518
solution loss = 4.596225, solution error = 0.960468, grad_solution error = 1.406432
solution loss = 4.572858, solution error = 0.962236, grad_solution error = 1.406506
solution loss = 4.563802, solution error = 0.959066, grad_solution error = 1.405269
solution loss = 4.540317, solution error = 0.958833, grad_solution error = 1.404200
solution loss = 4.498346, solution error = 0.960243, grad_solution error = 1.403307
solution loss = 4.492460, solution error = 0.958022, grad_solution error = 1.402689
solution loss = 4.450134, solution error = 0.955899, grad_solution error = 1.401983
solution loss = 4.434503, solution error = 0.957232, grad_solution error = 1.401190
solution loss = 4.428652, solution error = 0.956135, grad_solution error = 1.400435
solution loss = 4.421934, solution error = 0.955338, grad_solution error = 1.399754
solution loss = 4.378734, solution error = 0.954464, grad_solution error = 1.399304
solution loss = 4.363053, solution error = 0.954661, grad_solution error = 1.398592
solution loss = 4.355523, solution error = 0.953233, grad_solution error = 1.398013
solution loss = 4.323629, solution error = 0.951575, grad_solution error = 1.396944
solution loss = 4.273296, solution error = 0.950764, grad_solution error = 1.396477
solution loss = 4.266224, solution error = 0.951202, grad_solution error = 1.395865
solution loss = 4.247906, solution error = 0.950857, grad_solution error = 1.395210
solution loss = 4.224825, solution error = 0.949573, grad_solution error = 1.394808
solution loss = 4.188657, solution error = 0.950401, grad_solution error = 1.394429
solution loss = 4.230651, solution error = 0.948730, grad_solution error = 1.393711
solution loss = 4.193505, solution error = 0.947655, grad_solution error = 1.392955
solution loss = 4.157198, solution error = 0.947968, grad_solution error = 1.392354
solution loss = 4.125595, solution error = 0.946803, grad_solution error = 1.391717
solution loss = 4.115771, solution error = 0.945112, grad_solution error = 1.390427
solution loss = 4.076109, solution error = 0.945882, grad_solution error = 1.390224
solution loss = 4.095572, solution error = 0.944527, grad_solution error = 1.389751
solution loss = 4.057963, solution error = 0.943928, grad_solution error = 1.388573
solution loss = 4.048130, solution error = 0.945299, grad_solution error = 1.387975
solution loss = 4.022942, solution error = 0.942864, grad_solution error = 1.387411
solution loss = 4.018835, solution error = 0.940686, grad_solution error = 1.386453
solution loss = 4.008879, solution error = 0.943319, grad_solution error = 1.386441
solution loss = 3.947686, solution error = 0.941167, grad_solution error = 1.385591
solution loss = 3.953924, solution error = 0.940201, grad_solution error = 1.384933
solution loss = 3.918926, solution error = 0.939002, grad_solution error = 1.384034
solution loss = 3.877628, solution error = 0.939660, grad_solution error = 1.383743
solution loss = 3.885052, solution error = 0.939547, grad_solution error = 1.383035
solution loss = 3.864395, solution error = 0.938534, grad_solution error = 1.382541
solution loss = 3.853117, solution error = 0.935669, grad_solution error = 1.381563
solution loss = 3.838136, solution error = 0.936897, grad_solution error = 1.381416
solution loss = 3.812486, solution error = 0.936515, grad_solution error = 1.380668
solution loss = 3.784691, solution error = 0.935389, grad_solution error = 1.379874
solution loss = 3.749244, solution error = 0.936570, grad_solution error = 1.379417
solution loss = 3.760322, solution error = 0.933648, grad_solution error = 1.378538
solution loss = 3.733305, solution error = 0.934185, grad_solution error = 1.378127
solution loss = 3.720556, solution error = 0.933197, grad_solution error = 1.377392
solution loss = 3.740416, solution error = 0.932648, grad_solution error = 1.377007
solution loss = 3.689868, solution error = 0.932025, grad_solution error = 1.376351
solution loss = 3.665430, solution error = 0.931680, grad_solution error = 1.375555
solution loss = 3.655687, solution error = 0.931764, grad_solution error = 1.375235
solution loss = 3.653164, solution error = 0.930016, grad_solution error = 1.374672
solution loss = 3.609732, solution error = 0.932077, grad_solution error = 1.374449
solution loss = 3.591411, solution error = 0.928961, grad_solution error = 1.373537
solution loss = 3.594494, solution error = 0.929894, grad_solution error = 1.373334
solution loss = 3.573381, solution error = 0.930263, grad_solution error = 1.372473
solution loss = 3.529922, solution error = 0.927169, grad_solution error = 1.371065
solution loss = 3.533616, solution error = 0.927089, grad_solution error = 1.370835
solution loss = 3.502470, solution error = 0.926787, grad_solution error = 1.370552
solution loss = 3.504775, solution error = 0.925884, grad_solution error = 1.369904
solution loss = 3.474553, solution error = 0.927730, grad_solution error = 1.369632
solution loss = 3.467552, solution error = 0.925009, grad_solution error = 1.369072
solution loss = 3.480179, solution error = 0.927776, grad_solution error = 1.368943
solution loss = 3.436392, solution error = 0.925114, grad_solution error = 1.368075
solution loss = 3.398621, solution error = 0.924743, grad_solution error = 1.367161
solution loss = 3.412119, solution error = 0.925047, grad_solution error = 1.367096
solution loss = 3.378564, solution error = 0.923329, grad_solution error = 1.366279
solution loss = 3.358938, solution error = 0.923836, grad_solution error = 1.365744
solution loss = 3.356389, solution error = 0.921899, grad_solution error = 1.364750
solution loss = 3.322193, solution error = 0.921816, grad_solution error = 1.364265
solution loss = 3.309419, solution error = 0.920810, grad_solution error = 1.363611
solution loss = 3.273079, solution error = 0.919366, grad_solution error = 1.362541
solution loss = 3.278256, solution error = 0.921225, grad_solution error = 1.362467
solution loss = 3.263406, solution error = 0.919316, grad_solution error = 1.362040
solution loss = 3.244403, solution error = 0.919996, grad_solution error = 1.361856
solution loss = 3.228545, solution error = 0.918917, grad_solution error = 1.361077
solution loss = 3.200490, solution error = 0.918609, grad_solution error = 1.360594
solution loss = 3.186100, solution error = 0.917948, grad_solution error = 1.359782
solution loss = 3.189442, solution error = 0.918628, grad_solution error = 1.359723
solution loss = 3.182922, solution error = 0.917550, grad_solution error = 1.359227
solution loss = 3.139022, solution error = 0.917460, grad_solution error = 1.358240
solution loss = 3.143844, solution error = 0.917249, grad_solution error = 1.357775
solution loss = 3.114852, solution error = 0.916867, grad_solution error = 1.357464
solution loss = 3.098032, solution error = 0.914154, grad_solution error = 1.355972
solution loss = 3.091965, solution error = 0.915112, grad_solution error = 1.355530
solution loss = 3.067337, solution error = 0.916765, grad_solution error = 1.355649
solution loss = 3.066260, solution error = 0.915407, grad_solution error = 1.355062
solution loss = 3.062517, solution error = 0.914538, grad_solution error = 1.354419
solution loss = 3.033073, solution error = 0.915585, grad_solution error = 1.354525
solution loss = 3.019328, solution error = 0.912181, grad_solution error = 1.353254
