Training ... 
solution loss = 8.896724, solution error = 1.229522, grad_solution error = 2.521717
solution loss = 8.871520, solution error = 1.228807, grad_solution error = 2.514119
solution loss = 8.689903, solution error = 1.229655, grad_solution error = 2.510754
solution loss = 8.609338, solution error = 1.227579, grad_solution error = 2.500207
solution loss = 8.515314, solution error = 1.228663, grad_solution error = 2.499290
solution loss = 8.425775, solution error = 1.226780, grad_solution error = 2.493986
solution loss = 8.354447, solution error = 1.228418, grad_solution error = 2.487075
solution loss = 8.241688, solution error = 1.224914, grad_solution error = 2.484360
solution loss = 8.208411, solution error = 1.224429, grad_solution error = 2.479407
solution loss = 8.099116, solution error = 1.229068, grad_solution error = 2.472975
solution loss = 7.991754, solution error = 1.225029, grad_solution error = 2.469590
solution loss = 7.856978, solution error = 1.223398, grad_solution error = 2.464223
solution loss = 7.866127, solution error = 1.229232, grad_solution error = 2.457644
solution loss = 7.766983, solution error = 1.223641, grad_solution error = 2.454702
solution loss = 7.679329, solution error = 1.225033, grad_solution error = 2.448531
solution loss = 7.676642, solution error = 1.223954, grad_solution error = 2.444369
solution loss = 7.503511, solution error = 1.220611, grad_solution error = 2.442170
solution loss = 7.406555, solution error = 1.222111, grad_solution error = 2.435872
solution loss = 7.445053, solution error = 1.225157, grad_solution error = 2.432177
solution loss = 7.342725, solution error = 1.223424, grad_solution error = 2.429843
solution loss = 7.338521, solution error = 1.220745, grad_solution error = 2.423213
solution loss = 7.184001, solution error = 1.225343, grad_solution error = 2.416784
solution loss = 7.181769, solution error = 1.220904, grad_solution error = 2.414929
solution loss = 7.077591, solution error = 1.223392, grad_solution error = 2.406120
solution loss = 7.022838, solution error = 1.220472, grad_solution error = 2.406890
solution loss = 6.894944, solution error = 1.218241, grad_solution error = 2.403183
solution loss = 6.853067, solution error = 1.217376, grad_solution error = 2.396722
solution loss = 6.796409, solution error = 1.221397, grad_solution error = 2.397632
solution loss = 6.767858, solution error = 1.221372, grad_solution error = 2.389319
solution loss = 6.571725, solution error = 1.218216, grad_solution error = 2.386922
solution loss = 6.558235, solution error = 1.219695, grad_solution error = 2.381914
solution loss = 6.525602, solution error = 1.218835, grad_solution error = 2.378885
solution loss = 6.581107, solution error = 1.222147, grad_solution error = 2.373643
solution loss = 6.412240, solution error = 1.218190, grad_solution error = 2.371241
solution loss = 6.341248, solution error = 1.218329, grad_solution error = 2.365329
solution loss = 6.312571, solution error = 1.216584, grad_solution error = 2.363144
solution loss = 6.231609, solution error = 1.219067, grad_solution error = 2.356744
solution loss = 6.222760, solution error = 1.216454, grad_solution error = 2.354231
solution loss = 6.074271, solution error = 1.217010, grad_solution error = 2.353176
solution loss = 6.151966, solution error = 1.214306, grad_solution error = 2.349579
solution loss = 6.050636, solution error = 1.217684, grad_solution error = 2.344113
solution loss = 6.008264, solution error = 1.213571, grad_solution error = 2.344342
solution loss = 6.024595, solution error = 1.217885, grad_solution error = 2.339862
solution loss = 5.830927, solution error = 1.214375, grad_solution error = 2.334943
solution loss = 5.850419, solution error = 1.213057, grad_solution error = 2.330579
solution loss = 5.813080, solution error = 1.211397, grad_solution error = 2.328249
solution loss = 5.734827, solution error = 1.212897, grad_solution error = 2.323639
solution loss = 5.677098, solution error = 1.211534, grad_solution error = 2.318883
solution loss = 5.651749, solution error = 1.212438, grad_solution error = 2.317862
solution loss = 5.570328, solution error = 1.212320, grad_solution error = 2.313737
solution loss = 5.536221, solution error = 1.213573, grad_solution error = 2.311707
solution loss = 5.520021, solution error = 1.211972, grad_solution error = 2.308372
solution loss = 5.470849, solution error = 1.209291, grad_solution error = 2.305968
solution loss = 5.410609, solution error = 1.212342, grad_solution error = 2.301228
solution loss = 5.373207, solution error = 1.208195, grad_solution error = 2.300921
solution loss = 5.310762, solution error = 1.211470, grad_solution error = 2.296316
solution loss = 5.272594, solution error = 1.206272, grad_solution error = 2.292662
solution loss = 5.238537, solution error = 1.209551, grad_solution error = 2.290014
solution loss = 5.196488, solution error = 1.207146, grad_solution error = 2.287131
