Training ... 
solution loss = 1538.845062, solution error = 3.120956, grad_solution error = 1.606625
solution loss = 1657.097412, solution error = 3.120671, grad_solution error = 1.606568
solution loss = 2008.056442, solution error = 3.120914, grad_solution error = 1.606532
solution loss = 1576.253815, solution error = 3.125802, grad_solution error = 1.606361
solution loss = 1616.297043, solution error = 3.127324, grad_solution error = 1.606346
solution loss = 1631.643173, solution error = 3.127348, grad_solution error = 1.606414
solution loss = 1530.435608, solution error = 3.125054, grad_solution error = 1.606397
solution loss = 1594.511063, solution error = 3.123378, grad_solution error = 1.606353
solution loss = 1506.149628, solution error = 3.120505, grad_solution error = 1.606260
solution loss = 1604.000214, solution error = 3.115047, grad_solution error = 1.606061
solution loss = 1501.232681, solution error = 3.110201, grad_solution error = 1.605922
solution loss = 1600.745636, solution error = 3.104824, grad_solution error = 1.605942
solution loss = 1599.451324, solution error = 3.099781, grad_solution error = 1.605933
solution loss = 1661.717316, solution error = 3.095293, grad_solution error = 1.605983
solution loss = 1720.944916, solution error = 3.091195, grad_solution error = 1.606013
solution loss = 2029.164337, solution error = 3.086954, grad_solution error = 1.605954
solution loss = 1580.510071, solution error = 3.082431, grad_solution error = 1.605770
solution loss = 1573.215271, solution error = 3.079706, grad_solution error = 1.605768
solution loss = 1463.399887, solution error = 3.082430, grad_solution error = 1.605686
solution loss = 1529.607010, solution error = 3.083901, grad_solution error = 1.605702
solution loss = 1504.830383, solution error = 3.082979, grad_solution error = 1.605695
solution loss = 1639.171417, solution error = 3.085771, grad_solution error = 1.605544
solution loss = 1717.141327, solution error = 3.087088, grad_solution error = 1.605516
solution loss = 1647.378769, solution error = 3.084471, grad_solution error = 1.605631
solution loss = 1509.692764, solution error = 3.080167, grad_solution error = 1.605980
solution loss = 1438.039703, solution error = 3.077354, grad_solution error = 1.606027
solution loss = 1493.907898, solution error = 3.074878, grad_solution error = 1.606067
solution loss = 1658.819260, solution error = 3.074379, grad_solution error = 1.605971
solution loss = 1528.366806, solution error = 3.080422, grad_solution error = 1.605872
solution loss = 1551.420868, solution error = 3.081592, grad_solution error = 1.605726
solution loss = 1593.613724, solution error = 3.081142, grad_solution error = 1.605537
solution loss = 1715.016495, solution error = 3.079200, grad_solution error = 1.605289
solution loss = 1587.035263, solution error = 3.077332, grad_solution error = 1.605171
solution loss = 1595.143524, solution error = 3.075990, grad_solution error = 1.605069
solution loss = 1562.673309, solution error = 3.073236, grad_solution error = 1.604901
solution loss = 1605.945343, solution error = 3.070373, grad_solution error = 1.604800
solution loss = 1623.644943, solution error = 3.066262, grad_solution error = 1.604828
solution loss = 1644.286026, solution error = 3.062838, grad_solution error = 1.604889
solution loss = 1598.070099, solution error = 3.053525, grad_solution error = 1.605595
solution loss = 1566.253357, solution error = 3.047841, grad_solution error = 1.606096
solution loss = 1519.695068, solution error = 3.014661, grad_solution error = 1.605561
solution loss = 1449.936356, solution error = 2.980513, grad_solution error = 1.605294
solution loss = 1605.125107, solution error = 2.963487, grad_solution error = 1.605487
solution loss = 1494.186569, solution error = 2.952717, grad_solution error = 1.605526
solution loss = 1486.450836, solution error = 2.948645, grad_solution error = 1.605475
solution loss = 1421.894333, solution error = 2.945642, grad_solution error = 1.605476
solution loss = 1500.300674, solution error = 2.943226, grad_solution error = 1.605521
solution loss = 1428.931686, solution error = 2.941026, grad_solution error = 1.605421
solution loss = 1374.445969, solution error = 2.940606, grad_solution error = 1.605258
solution loss = 1444.939850, solution error = 2.937749, grad_solution error = 1.604985
solution loss = 1346.751709, solution error = 2.936389, grad_solution error = 1.604896
solution loss = 1530.853561, solution error = 2.933619, grad_solution error = 1.604867
